artifact,f1_min,f2_min,f3_min,f4_min,f5_min,f6_min,f7_min,f8_min,f9_min,f10_min,node_id_min,f1_max,f2_max,f3_max,f4_max,f5_max,f6_max,f7_max,f8_max,f9_max,f10_max,node_id_max,f1_mean,f2_mean,f3_mean,f4_mean,f5_mean,f6_mean,f7_mean,f8_mean,f9_mean,f10_mean
artifact1265,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,node1,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,node9,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
artifact1266,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,node1,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,node9,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566
artifact1267,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567,node1,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567,node9,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
artifact1268,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,node1,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,node9,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
artifact1269,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,node1,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,node9,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
artifact127,427,427,427,427,427,427,427,427,427,427,node1,427,427,427,427,427,427,427,427,427,427,node9,427,427,427,427,427,427,427,427,427,427
artifact1270,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,node1,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,node9,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
artifact1271,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,node1,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,node9,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571
artifact1272,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,node1,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572,node9,1572,1572,1572,1572,1572,1572,1572,1572,1572,1572
artifact1273,1573,1573,1573,1573,1573,1573,1573,1573,1573,1573,node1,1573,1573,1573,1573,1573,1573,1573,1573,1573,1573,node9,1573,1573,1573,1573,1573,1573,1573,1573,1573,1573
artifact1274,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574,node1,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574,node9,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574
artifact1275,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,node1,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,node9,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
artifact1276,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,node1,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,node9,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576
artifact1277,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,node1,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,node9,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
artifact1278,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,node1,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578,node9,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578
artifact1279,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,node1,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579,node9,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579
artifact128,428,428,428,428,428,428,428,428,428,428,node1,428,428,428,428,428,428,428,428,428,428,node9,428,428,428,428,428,428,428,428,428,428
artifact1280,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,node1,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,node9,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
artifact1281,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,node1,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,node9,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
artifact1282,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,node1,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,node9,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
artifact1283,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,node1,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,node9,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583
artifact1284,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,node1,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,node9,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584
artifact1285,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,node1,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,node9,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
artifact1286,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,node1,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,node9,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586
artifact1287,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,node1,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,node9,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587
artifact1288,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,node1,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588,node9,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588
artifact1289,1589,1589,1589,1589,1589,1589,1589,1589,1589,1589,node1,1589,1589,1589,1589,1589,1589,1589,1589,1589,1589,node9,1589,1589,1589,1589,1589,1589,1589,1589,1589,1589
artifact129,429,429,429,429,429,429,429,429,429,429,node1,429,429,429,429,429,429,429,429,429,429,node9,429,429,429,429,429,429,429,429,429,429
artifact1290,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,node1,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,node9,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
artifact1291,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,node1,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591,node9,1591,1591,1591,1591,1591,1591,1591,1591,1591,1591
artifact1292,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,node1,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,node9,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592
artifact1293,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,node1,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,node9,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593
artifact1294,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,node1,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,node9,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594
artifact1295,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,node1,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,node9,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
artifact1296,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,node1,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596,node9,1596,1596,1596,1596,1596,1596,1596,1596,1596,1596
artifact1297,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,node1,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,node9,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597
artifact1298,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,node1,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,node9,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598
artifact1299,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,node1,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,node9,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599
artifact13,313,313,313,313,313,313,313,313,313,313,node1,313,313,313,313,313,313,313,313,313,313,node9,313,313,313,313,313,313,313,313,313,313
artifact130,430,430,430,430,430,430,430,430,430,430,node1,430,430,430,430,430,430,430,430,430,430,node9,430,430,430,430,430,430,430,430,430,430
artifact1300,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,node1,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,node9,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
artifact1301,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,node1,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,node9,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601
artifact1302,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,node1,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,node9,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602
artifact1303,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,node1,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,node9,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
artifact1304,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,node1,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,node9,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604
artifact1305,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,node1,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,node9,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
artifact1306,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,node1,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,node9,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606
artifact1307,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,node1,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,node9,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
artifact1308,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608,node1,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608,node9,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608
artifact1309,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,node1,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,node9,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609
artifact131,431,431,431,431,431,431,431,431,431,431,node1,431,431,431,431,431,431,431,431,431,431,node9,431,431,431,431,431,431,431,431,431,431
artifact1310,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,node1,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,node9,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
artifact1311,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,node1,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,node9,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
artifact1312,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,node1,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,node9,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612
artifact1313,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613,node1,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613,node9,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613
artifact1314,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,node1,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,node9,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614
artifact1315,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,node1,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,node9,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
artifact1316,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,node1,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,node9,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616
artifact1317,1617,1617,1617,1617,1617,1617,1617,1617,1617,1617,node1,1617,1617,1617,1617,1617,1617,1617,1617,1617,1617,node9,1617,1617,1617,1617,1617,1617,1617,1617,1617,1617
artifact1318,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,node1,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,node9,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
artifact1319,1619,1619,1619,1619,1619,1619,1619,1619,1619,1619,node1,1619,1619,1619,1619,1619,1619,1619,1619,1619,1619,node9,1619,1619,1619,1619,1619,1619,1619,1619,1619,1619
artifact132,432,432,432,432,432,432,432,432,432,432,node1,432,432,432,432,432,432,432,432,432,432,node9,432,432,432,432,432,432,432,432,432,432
artifact1320,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,node1,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,node9,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
artifact1321,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,node1,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,node9,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621
artifact1322,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,node1,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,node9,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
artifact1323,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,node1,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623,node9,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623
artifact1324,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,node1,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,node9,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624
artifact1325,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,node1,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,node9,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
artifact1326,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,node1,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,node9,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626
artifact1327,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,node1,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627,node9,1627,1627,1627,1627,1627,1627,1627,1627,1627,1627
artifact1328,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,node1,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,node9,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
artifact1329,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,node1,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,node9,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
artifact133,433,433,433,433,433,433,433,433,433,433,node1,433,433,433,433,433,433,433,433,433,433,node9,433,433,433,433,433,433,433,433,433,433
artifact1330,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,node1,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,node9,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
artifact1331,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,node1,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,node9,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631
artifact1332,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,node1,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,node9,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
artifact1333,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,node1,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,node9,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633
artifact1334,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,node1,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634,node9,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
artifact1335,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,node1,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,node9,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
artifact1336,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,node1,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,node9,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
artifact1337,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,node1,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,node9,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
artifact1338,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,node1,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,node9,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638
artifact1339,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,node1,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,node9,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639
artifact134,434,434,434,434,434,434,434,434,434,434,node1,434,434,434,434,434,434,434,434,434,434,node9,434,434,434,434,434,434,434,434,434,434
artifact1340,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,node1,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,node9,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
artifact1341,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,node1,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,node9,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
artifact1342,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,node1,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,node9,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
artifact1343,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,node1,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,node9,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643
artifact1344,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,node1,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,node9,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644
artifact1345,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,node1,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,node9,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645
artifact1346,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,node1,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,node9,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646
artifact1347,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,node1,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,node9,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647
artifact1348,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,node1,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,node9,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648
artifact1349,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,node1,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,node9,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649
artifact135,435,435,435,435,435,435,435,435,435,435,node1,435,435,435,435,435,435,435,435,435,435,node9,435,435,435,435,435,435,435,435,435,435
artifact1350,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,node1,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,node9,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
artifact1351,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,node1,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,node9,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
artifact1352,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,node1,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652,node9,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
artifact1353,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,node1,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,node9,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653
artifact1354,1654,1654,1654,1654,1654,1654,1654,1654,1654,1654,node1,1654,1654,1654,1654,1654,1654,1654,1654,1654,1654,node9,1654,1654,1654,1654,1654,1654,1654,1654,1654,1654
artifact1355,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,node1,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,node9,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
artifact1356,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,node1,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,node9,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
artifact1357,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,node1,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,node9,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657
artifact1358,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,node1,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,node9,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658
artifact1359,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,node1,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659,node9,1659,1659,1659,1659,1659,1659,1659,1659,1659,1659
artifact136,436,436,436,436,436,436,436,436,436,436,node1,436,436,436,436,436,436,436,436,436,436,node9,436,436,436,436,436,436,436,436,436,436
artifact1360,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,node1,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,node9,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
artifact1361,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,node1,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,node9,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661
artifact1362,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,node1,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,node9,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662
artifact1363,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,node1,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,node9,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663
artifact1364,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,node1,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,node9,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664
artifact1365,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,node1,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,node9,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665
artifact1366,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,node1,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,node9,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
artifact1367,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,node1,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667,node9,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667
artifact1368,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,node1,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,node9,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
artifact1369,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,node1,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,node9,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
artifact137,437,437,437,437,437,437,437,437,437,437,node1,437,437,437,437,437,437,437,437,437,437,node9,437,437,437,437,437,437,437,437,437,437
artifact1370,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,node1,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,node9,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
artifact1371,1671,1671,1671,1671,1671,1671,1671,1671,1671,1671,node1,1671,1671,1671,1671,1671,1671,1671,1671,1671,1671,node9,1671,1671,1671,1671,1671,1671,1671,1671,1671,1671
artifact1372,1672,1672,1672,1672,1672,1672,1672,1672,1672,1672,node1,1672,1672,1672,1672,1672,1672,1672,1672,1672,1672,node9,1672,1672,1672,1672,1672,1672,1672,1672,1672,1672
artifact1373,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,node1,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673,node9,1673,1673,1673,1673,1673,1673,1673,1673,1673,1673
artifact1374,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,node1,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,node9,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674
artifact1375,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,node1,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,node9,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
artifact1376,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,node1,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,node9,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676
artifact1377,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,node1,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,node9,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677
artifact1378,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,node1,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,node9,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678
artifact1379,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,node1,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,node9,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679
artifact138,438,438,438,438,438,438,438,438,438,438,node1,438,438,438,438,438,438,438,438,438,438,node9,438,438,438,438,438,438,438,438,438,438
artifact1380,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,node1,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,node9,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
artifact1381,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,node1,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681,node9,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681
artifact1382,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,node1,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,node9,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682
artifact1383,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,node1,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,node9,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683
artifact1384,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,node1,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,node9,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
artifact1385,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,node1,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,node9,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
artifact1386,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,node1,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,node9,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686
artifact1387,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687,node1,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687,node9,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687
artifact1388,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,node1,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688,node9,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
artifact1389,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,node1,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,node9,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689
artifact139,439,439,439,439,439,439,439,439,439,439,node1,439,439,439,439,439,439,439,439,439,439,node9,439,439,439,439,439,439,439,439,439,439
